order_id,date_id,order_date,customer_id,product_id,quantity,unit_price,discount,amount,channel,pay_status
1,442,2026-03-18,125,200,3,24.71,0.95,70.42,线上APP,已支付
2,352,2025-12-18,430,111,1,3634.34,0.95,3452.62,线上APP,已支付
2,352,2025-12-18,430,143,1,426.66,0.95,405.33,线上APP,已支付
2,352,2025-12-18,430,199,1,25.08,1.0,25.08,线上APP,已支付
2,352,2025-12-18,430,168,1,111.73,0.95,106.14,线上APP,已支付
2,352,2025-12-18,430,193,1,3208.35,0.7,2245.84,线上APP,已支付
3,467,2026-04-12,1881,123,1,1365.14,0.8,1092.11,线上APP,已支付
3,467,2026-04-12,1881,135,1,1399.55,1.0,1399.55,线上APP,已支付
3,467,2026-04-12,1881,43,1,505.2,1.0,505.2,线上APP,已支付
3,467,2026-04-12,1881,169,1,110.2,1.0,110.2,线上APP,已支付
4,344,2025-12-10,1930,150,1,61.43,0.9,55.29,线下门店,已支付
5,379,2026-01-14,131,31,2,6663.77,1.0,13327.54,线上APP,已支付
6,341,2025-12-07,1749,196,1,3894.11,1.0,3894.11,小程序,已支付
7,364,2025-12-30,868,17,1,7027.96,0.9,6325.16,线上APP,已支付
8,546,2026-06-30,504,94,2,1611.6,1.0,3223.2,线上APP,已支付
8,546,2026-06-30,504,168,1,111.73,0.95,106.14,线上APP,已支付
9,335,2025-12-01,108,166,1,110.96,0.9,99.86,线上APP,已支付
9,335,2025-12-01,108,39,4,483.55,0.95,1837.49,线上APP,已支付
9,335,2025-12-01,108,74,1,3263.02,0.8,2610.42,线上APP,已支付
10,426,2026-03-02,548,118,4,1600.98,1.0,6403.92,线上APP,已支付
10,426,2026-03-02,548,76,1,3370.38,0.9,3033.34,线上APP,已支付
11,339,2025-12-05,1251,40,1,417.22,0.7,292.05,线下门店,已支付
12,182,2025-07-01,832,121,1,1512.18,0.9,1360.96,线下门店,已支付
12,182,2025-07-01,832,65,1,876.27,0.8,701.02,线下门店,已支付
12,182,2025-07-01,832,155,1,21.66,0.95,20.58,线下门店,已支付
13,405,2026-02-09,902,135,2,1399.55,0.85,2379.23,线下门店,已支付
14,288,2025-10-15,1212,173,1,3452.4,1.0,3452.4,第三方平台,已支付
15,430,2026-03-06,1708,42,1,505.61,0.9,455.05,线下门店,已支付
15,430,2026-03-06,1708,186,2,25.04,0.9,45.07,线下门店,已支付
16,482,2026-04-27,949,35,1,6738.89,1.0,6738.89,线上APP,已支付
16,482,2026-04-27,949,108,1,7165.23,1.0,7165.23,线上APP,已支付
17,462,2026-04-07,1104,78,1,3280.79,0.85,2788.67,小程序,已退款
17,462,2026-04-07,1104,87,1,479.04,1.0,479.04,小程序,已支付
17,462,2026-04-07,1104,160,3,25.84,0.9,69.77,小程序,已支付
18,388,2026-01-23,681,133,1,1300.72,0.8,1040.58,线上APP,已支付
19,322,2025-11-18,1464,90,3,449.25,1.0,1347.75,线下门店,已支付
19,322,2025-11-18,1464,149,2,61.04,0.7,85.46,线下门店,已支付
20,517,2026-06-01,1327,95,2,1455.44,1.0,2910.88,小程序,已支付
21,333,2025-11-29,465,128,1,1611.09,1.0,1611.09,线上APP,已支付
22,379,2026-01-14,431,70,1,780.24,1.0,780.24,线上APP,已支付
22,379,2026-01-14,431,198,1,3240.69,0.95,3078.66,线上APP,已支付
23,176,2025-06-25,1426,40,1,417.22,1.0,417.22,线上APP,已退款
23,176,2025-06-25,1426,53,1,202.21,0.95,192.1,线上APP,已支付
24,458,2026-04-03,1555,162,3,21.26,0.95,60.59,第三方平台,已支付
25,459,2026-04-04,570,175,1,3841.23,1.0,3841.23,线上APP,未支付
26,351,2025-12-17,394,54,1,226.36,0.95,215.04,第三方平台,已支付
27,439,2026-03-15,1935,152,2,57.35,0.95,108.97,小程序,已支付
27,439,2026-03-15,1935,141,1,444.13,1.0,444.13,小程序,已支付
28,365,2025-12-31,1583,164,4,118.95,1.0,475.8,第三方平台,已支付
29,367,2026-01-02,1659,167,1,114.33,0.95,108.61,第三方平台,已支付
