题号,问题,难度,问题类型,SQL执行,结果匹配,错误分类,错误原因,返回行数,LLM耗时,SQL耗时,总耗时,生成SQL摘要
Q01,上月销售额多少？,简单,直接统计,✅ 成功,❌ 错误,🕐 时间语义错误,数值/文本不一致: 行0列0 'None' vs '5508311.27',1,2.6s,75ms,2.7s,SELECT SUM(amount) AS last_month_sales_amount FROM order_item WHERE pay_status = '已支付' AND strftime(...
Q02,今年上半年华东区域的销售额是多少？,中等,直接统计,✅ 成功,❌ 错误,🕐 时间语义错误,数值/文本不一致: 行0列0 757782.45 vs 4441166.8,1,3.7s,13ms,3.7s,SELECT SUM(amount) AS east_china_h1_sales FROM order_item JOIN customer ON order_item.customer_id = ...
Q03,2025年Q4电子产品的销售额是多少？,中等,直接统计,✅ 成功,✅ 正确,,,1,2.2s,10ms,2.2s,SELECT SUM(oi.amount) AS sales_amount FROM order_item oi JOIN product p ON oi.product_id = p.product...
Q04,去年金卡会员的订单量是多少？,中等,直接统计,✅ 成功,✅ 正确,,,1,2.3s,9ms,2.3s,SELECT COUNT(DISTINCT o.order_id) AS gold_member_order_count FROM order_item o JOIN customer c ON o....
Q05,2025年全年的客单价是多少？,中等,直接统计,✅ 成功,✅ 正确,,,1,1.4s,8ms,1.4s,"SELECT SUM(amount) / COUNT(DISTINCT order_id) AS aov FROM order_item WHERE strftime('%Y', order_date..."
Q06,2025年每个月的销售额变化趋势是怎样的？,中等,趋势分析,✅ 成功,❌ 错误,📋 结果结构/格式错误,列数不一致 生成=3 vs 参考=2,12,13.1s,12ms,13.1s,"SELECT strftime('%Y-%m', order_date) AS month, SUM(amount) AS sales_amount, COUNT(DISTINCT order_id)..."
Q07,近6个月的订单量变化趋势,中等,趋势分析,✅ 成功,❌ 错误,📋 结果结构/格式错误,行数不一致 生成=12 vs 参考=6,12,2.4s,13ms,2.4s,"SELECT strftime('%Y-%m', order_date) AS month, COUNT(DISTINCT order_id) AS order_count FROM order_it..."
Q08,2025年各季度新客数的变化情况,困难,趋势分析,✅ 成功,❌ 错误,📏 指标口径错误,数值/文本不一致: 行0列0 '1.0' vs '2025Q1'; 行1列0 '2.0' vs '2025Q2'; 行2列0 '3.0' vs '2025Q3',4,15.8s,7ms,15.8s,"SELECT d.quarter AS quarter, COUNT(DISTINCT c.customer_id) AS new_customer_count FROM customer c INN..."
Q09,2025年每个月的客单价，同时给出同比上月的环比变化,困难,趋势分析,✅ 成功,❌ 错误,📋 结果结构/格式错误,列数不一致 生成=5 vs 参考=4,12,4.6s,18ms,4.6s,"WITH monthly_metrics AS ( SELECT strftime('%Y-%m', order_date) AS year_month, SUM(amount) AS total_s..."
Q10,各渠道按季度的销售额变化趋势,困难,趋势分析,✅ 成功,❌ 错误,📋 结果结构/格式错误,列数不一致 生成=4 vs 参考=3,24,3.0s,20ms,3.0s,"SELECT d.year AS year, d.quarter AS quarter, o.channel AS channel, SUM(o.amount) AS sales_amount FRO..."
