product_id,product_name,category,sub_category,brand,cost_price,sale_price,status
1,手机1号,电子产品,手机,品牌C,2661.09,6464.79,在售
2,手机2号,电子产品,手机,品牌B,2888.5,7182.03,下架
3,手机3号,电子产品,手机,品牌E,2296.78,6057.54,在售
4,手机4号,电子产品,手机,品牌E,2334.74,6785.8,在售
5,手机5号,电子产品,手机,品牌D,3127.78,7305.76,在售
6,手机6号,电子产品,手机,品牌B,2807.0,7730.22,在售
7,手机7号,电子产品,手机,品牌B,3513.18,7762.07,在售
8,手机8号,电子产品,手机,品牌C,3017.25,6485.67,下架
9,手机9号,电子产品,手机,品牌A,3007.0,6210.05,在售
10,电脑10号,电子产品,电脑,品牌D,2672.96,6775.92,在售
11,电脑11号,电子产品,电脑,品牌A,2402.31,7794.87,在售
12,电脑12号,电子产品,电脑,国货精品,2984.5,7688.56,在售
13,电脑13号,电子产品,电脑,品牌A,2746.25,6590.84,在售
14,电脑14号,电子产品,电脑,品牌B,2103.21,6036.11,在售
15,电脑15号,电子产品,电脑,品牌D,2547.18,6523.96,在售
16,电脑16号,电子产品,电脑,品牌D,2915.7,7067.56,在售
17,电脑17号,电子产品,电脑,品牌A,3028.58,7027.96,在售
18,电脑18号,电子产品,电脑,品牌A,2317.99,6213.36,在售
19,耳机19号,电子产品,耳机,品牌E,12.67,24.98,在售
20,耳机20号,电子产品,耳机,国货精品,10.71,24.8,在售
21,耳机21号,电子产品,耳机,品牌D,8.17,22.63,在售
22,耳机22号,电子产品,耳机,国货精品,10.14,24.52,在售
23,耳机23号,电子产品,耳机,国货精品,11.24,20.17,在售
24,耳机24号,电子产品,耳机,国货精品,8.98,23.14,在售
25,耳机25号,电子产品,耳机,品牌A,12.59,25.07,在售
26,耳机26号,电子产品,耳机,品牌D,12.93,22.22,在售
27,耳机27号,电子产品,耳机,品牌A,12.47,24.77,下架
28,平板28号,电子产品,平板,品牌C,3331.18,6447.2,在售
29,平板29号,电子产品,平板,品牌A,3400.86,6438.7,在售
30,平板30号,电子产品,平板,品牌A,3041.6,6152.27,在售
31,平板31号,电子产品,平板,品牌E,3099.02,6663.77,在售
32,平板32号,电子产品,平板,品牌E,2354.35,7030.82,在售
33,平板33号,电子产品,平板,品牌B,3850.36,6339.35,在售
34,平板34号,电子产品,平板,国货精品,2121.32,6652.32,在售
35,平板35号,电子产品,平板,品牌B,2599.49,6738.89,在售
36,平板36号,电子产品,平板,品牌D,3797.58,7091.8,在售
37,智能手表37号,电子产品,智能手表,品牌D,191.35,416.75,在售
38,智能手表38号,电子产品,智能手表,品牌A,205.55,430.96,在售
39,智能手表39号,电子产品,智能手表,品牌A,236.62,483.55,在售
40,智能手表40号,电子产品,智能手表,品牌A,222.09,417.22,在售
41,智能手表41号,电子产品,智能手表,品牌B,201.1,470.4,在售
42,智能手表42号,电子产品,智能手表,品牌A,157.52,505.61,在售
43,智能手表43号,电子产品,智能手表,品牌E,181.14,505.2,在售
44,智能手表44号,电子产品,智能手表,国货精品,178.52,415.27,在售
45,智能手表45号,电子产品,智能手表,品牌C,215.92,422.06,在售
46,床上用品46号,家居用品,床上用品,品牌C,129.1,200.04,在售
47,床上用品47号,家居用品,床上用品,品牌B,106.65,258.25,在售
48,床上用品48号,家居用品,床上用品,品牌B,102.58,218.82,在售
49,床上用品49号,家居用品,床上用品,国货精品,94.64,203.15,在售
50,床上用品50号,家居用品,床上用品,国货精品,127.83,219.65,在售
51,床上用品51号,家居用品,床上用品,国货精品,121.37,222.74,在售
52,床上用品52号,家居用品,床上用品,品牌A,97.39,209.32,在售
53,床上用品53号,家居用品,床上用品,品牌D,94.03,202.21,在售
54,床上用品54号,家居用品,床上用品,品牌B,100.84,226.36,在售
55,厨房用具55号,家居用品,厨房用具,品牌B,63.86,102.78,在售
56,厨房用具56号,家居用品,厨房用具,国货精品,47.34,109.42,在售
57,厨房用具57号,家居用品,厨房用具,国货精品,61.51,127.11,在售
58,厨房用具58号,家居用品,厨房用具,品牌A,49.43,111.75,在售
59,厨房用具59号,家居用品,厨房用具,品牌B,63.03,121.93,在售
60,厨房用具60号,家居用品,厨房用具,品牌C,43.92,120.54,下架
61,厨房用具61号,家居用品,厨房用具,品牌C,54.11,125.55,下架
62,厨房用具62号,家居用品,厨房用具,品牌D,63.98,124.31,在售
63,厨房用具63号,家居用品,厨房用具,品牌A,37.83,101.62,在售
64,收纳64号,家居用品,收纳,品牌D,395.46,866.46,下架
65,收纳65号,家居用品,收纳,国货精品,309.47,876.27,在售
66,收纳66号,家居用品,收纳,品牌C,361.73,787.46,在售
67,收纳67号,家居用品,收纳,品牌D,356.79,733.22,在售
68,收纳68号,家居用品,收纳,品牌A,401.81,725.47,在售
69,收纳69号,家居用品,收纳,品牌B,327.32,905.95,在售
70,收纳70号,家居用品,收纳,品牌D,392.19,780.24,在售
71,收纳71号,家居用品,收纳,国货精品,408.88,898.78,在售
72,收纳72号,家居用品,收纳,品牌C,450.9,899.56,在售
73,灯具73号,家居用品,灯具,品牌D,1816.47,3396.67,在售
74,灯具74号,家居用品,灯具,品牌C,1760.51,3263.02,在售
75,灯具75号,家居用品,灯具,品牌A,1645.6,3519.19,在售
76,灯具76号,家居用品,灯具,品牌C,1063.19,3370.38,下架
77,灯具77号,家居用品,灯具,品牌E,1322.54,3507.89,下架
78,灯具78号,家居用品,灯具,品牌B,1162.61,3280.79,在售
79,灯具79号,家居用品,灯具,品牌B,1326.4,3275.42,在售
80,灯具80号,家居用品,灯具,国货精品,1727.93,3491.75,下架
81,灯具81号,家居用品,灯具,品牌B,1127.82,3710.33,在售
82,家具82号,家居用品,家具,品牌E,228.02,441.65,在售
83,家具83号,家居用品,家具,品牌E,233.69,401.06,在售
84,家具84号,家居用品,家具,国货精品,172.74,432.88,在售
85,家具85号,家居用品,家具,品牌A,151.75,484.02,在售
86,家具86号,家居用品,家具,品牌B,205.09,408.61,在售
87,家具87号,家居用品,家具,品牌B,139.95,479.04,在售
88,家具88号,家居用品,家具,品牌B,180.03,469.24,在售
89,家具89号,家居用品,家具,品牌E,236.16,485.66,在售
90,家具90号,家居用品,家具,品牌C,209.88,449.25,在售
91,男装91号,服装配饰,男装,品牌D,555.84,1600.68,在售
92,男装92号,服装配饰,男装,品牌A,772.86,1685.96,在售
