question_id,group,generated_sql,exec_success,exec_error_msg,result_match_reference,mismatch_type,task_complete,self_correction_rounds,human_correction_rounds,human_correction_seconds,remarks
Q01,Baseline,,,,,,,,,,
Q01,Ours,,,,,,,,,,
Q02,Baseline,,,,,,,,,,
Q02,Ours,,,,,,,,,,
Q03,Baseline,,,,,,,,,,
Q03,Ours,,,,,,,,,,
Q04,Baseline,,,,,,,,,,
Q04,Ours,,,,,,,,,,
Q05,Baseline,,,,,,,,,,
Q05,Ours,,,,,,,,,,
Q06,Baseline,,,,,,,,,,
Q06,Ours,,,,,,,,,,
Q07,Baseline,,,,,,,,,,
Q07,Ours,,,,,,,,,,
Q08,Baseline,,,,,,,,,,
Q08,Ours,,,,,,,,,,
Q09,Baseline,,,,,,,,,,
Q09,Ours,,,,,,,,,,
Q10,Baseline,,,,,,,,,,
Q10,Ours,,,,,,,,,,
Q11,Baseline,,,,,,,,,,
Q11,Ours,,,,,,,,,,
Q12,Baseline,,,,,,,,,,
Q12,Ours,,,,,,,,,,
Q13,Baseline,,,,,,,,,,
Q13,Ours,,,,,,,,,,
Q14,Baseline,,,,,,,,,,
Q14,Ours,,,,,,,,,,
Q15,Baseline,,,,,,,,,,
Q15,Ours,,,,,,,,,,
Q16,Baseline,,,,,,,,,,
Q16,Ours,,,,,,,,,,
Q17,Baseline,,,,,,,,,,
Q17,Ours,,,,,,,,,,
Q18,Baseline,,,,,,,,,,
Q18,Ours,,,,,,,,,,
Q19,Baseline,,,,,,,,,,
Q19,Ours,,,,,,,,,,
Q20,Baseline,,,,,,,,,,
Q20,Ours,,,,,,,,,,
Q21,Baseline,,,,,,,,,,
Q21,Ours,,,,,,,,,,
Q22,Baseline,,,,,,,,,,
Q22,Ours,,,,,,,,,,
Q23,Baseline,,,,,,,,,,
Q23,Ours,,,,,,,,,,
Q24,Baseline,,,,,,,,,,
Q24,Ours,,,,,,,,,,
Q25,Baseline,,,,,,,,,,
Q25,Ours,,,,,,,,,,
