variant_id,variant_label,question_id,question,difficulty,question_type,correct,remaining_errors
V0,V0 基线,Q01,上月销售额多少？,简单,直接统计,0,动态时间函数 date('now') 查不到数据
V0,V0 基线,Q02,今年上半年华东区域的销售额是多少？,中等,直接统计,0,『今年上半年』被误解为 2025 上半年
V0,V0 基线,Q03,2025年Q4电子产品的销售额是多少？,中等,直接统计,1,
V0,V0 基线,Q04,去年金卡会员的订单量是多少？,中等,直接统计,1,
V0,V0 基线,Q05,2025年全年的客单价是多少？,中等,直接统计,1,
V0,V0 基线,Q06,2025年每个月的销售额变化趋势是怎样的？,中等,趋势分析,0,多返回订单量一列，列数不符合输出规范（趋势分析应为 时间+指标）
V0,V0 基线,Q07,近6个月的订单量变化趋势,中等,趋势分析,0,"近6个月被算成 date('now','-6 months')=12 个月，行数翻倍"
V0,V0 基线,Q08,2025年各季度新客数的变化情况,困难,趋势分析,0,新客使用 register_date（注册日期）而非 MIN(order_date) 首单日期；季度标签用纯数字 1/2/3/4 而非字符串 '2025Q1'
V0,V0 基线,Q09,2025年每个月的客单价，同时给出同比上月的环比变化,困难,趋势分析,0,环比问题缺少上期值列（输出规范要求 4 列：月/当期/上期/环比%）
V0,V0 基线,Q10,各渠道按季度的销售额变化趋势,困难,趋势分析,0,维度列顺序错误（问题先渠道后季度，基线先季度后渠道导致数据错位）
V0,V0 基线,Q11,华东和华北2025年全年的销售额对比,中等,对比分析,1,
V0,V0 基线,Q12,金卡会员和普通会员在2025年Q4的订单量对比,中等,对比分析,0,JOIN date_dim 时未正确继承 pay_status 过滤+时间范围，导致结果错位
V0,V0 基线,Q13,线上APP渠道和线下门店渠道，哪个客单价更高？,中等,对比分析,0,对比问题默认时间范围取全量而非上月（陷阱规则#2）
V0,V0 基线,Q14,2025年全年 vs 2026年上半年的销售额对比,中等,对比分析,0,时间段标签文字格式不匹配（多了『年』字），输出规范要求 '2025全年'
V0,V0 基线,Q15,五大一级品类2025年全年销售额对比,中等,对比分析,1,
V0,V0 基线,Q16,一级品类中，销售额最高的Top3是哪些？（2025全年）,中等,排名分析,1,
V0,V0 基线,Q17,2026年上半年订单量最多的前5个城市是哪些？,中等,排名分析,1,
V0,V0 基线,Q18,按区域来看，客单价最高的3个区域是？,中等,排名分析,0,默认时间范围错误，导致排名和数值均错
V0,V0 基线,Q19,2025年新增付费客户数最多的10个城市,困难,排名分析,1,
V0,V0 基线,Q20,2025年销售额最低的5个品牌,中等,排名分析,1,
V0,V0 基线,Q21,7大区域的销售额占比（上月）,中等,占比分析,0,使用动态时间返回 0 行；占比问题只返回占比一列，不返回绝对值列（输出规范 M08 占比 3 列）
V0,V0 基线,Q22,2025年各渠道的订单量占比,中等,占比分析,0,缺少绝对值列，占比计算方法错误
V0,V0 基线,Q23,电子产品一级品类下，5个二级子品类的销售额占比（2025全年）,中等,占比分析,1,
V0,V0 基线,Q24,2025年哪个月的销售额环比上月跌幅最大？,困难,异常识别,1,
V0,V0 基线,Q25,2025年复购率最高和最低的月份分别是？,困难,异常识别,0,复购率定义错误（跨月追踪新客复购率 ≠ 当月复购率）；『最高最低分别是』返回 2 行，规范要求返回全部 12 行
V1,V1 同义词别名匹配,Q01,上月销售额多少？,简单,直接统计,0,动态时间函数 date('now') 查不到数据
V1,V1 同义词别名匹配,Q02,今年上半年华东区域的销售额是多少？,中等,直接统计,0,『今年上半年』被误解为 2025 上半年
V1,V1 同义词别名匹配,Q03,2025年Q4电子产品的销售额是多少？,中等,直接统计,1,
V1,V1 同义词别名匹配,Q04,去年金卡会员的订单量是多少？,中等,直接统计,1,
V1,V1 同义词别名匹配,Q05,2025年全年的客单价是多少？,中等,直接统计,1,
V1,V1 同义词别名匹配,Q06,2025年每个月的销售额变化趋势是怎样的？,中等,趋势分析,0,多返回订单量一列，列数不符合输出规范（趋势分析应为 时间+指标）
V1,V1 同义词别名匹配,Q07,近6个月的订单量变化趋势,中等,趋势分析,0,"近6个月被算成 date('now','-6 months')=12 个月，行数翻倍"
V1,V1 同义词别名匹配,Q08,2025年各季度新客数的变化情况,困难,趋势分析,0,新客使用 register_date（注册日期）而非 MIN(order_date) 首单日期；季度标签用纯数字 1/2/3/4 而非字符串 '2025Q1'
V1,V1 同义词别名匹配,Q09,2025年每个月的客单价，同时给出同比上月的环比变化,困难,趋势分析,0,环比问题缺少上期值列（输出规范要求 4 列：月/当期/上期/环比%）
V1,V1 同义词别名匹配,Q10,各渠道按季度的销售额变化趋势,困难,趋势分析,0,维度列顺序错误（问题先渠道后季度，基线先季度后渠道导致数据错位）
V1,V1 同义词别名匹配,Q11,华东和华北2025年全年的销售额对比,中等,对比分析,1,
V1,V1 同义词别名匹配,Q12,金卡会员和普通会员在2025年Q4的订单量对比,中等,对比分析,0,JOIN date_dim 时未正确继承 pay_status 过滤+时间范围，导致结果错位
V1,V1 同义词别名匹配,Q13,线上APP渠道和线下门店渠道，哪个客单价更高？,中等,对比分析,0,对比问题默认时间范围取全量而非上月（陷阱规则#2）
V1,V1 同义词别名匹配,Q14,2025年全年 vs 2026年上半年的销售额对比,中等,对比分析,0,时间段标签文字格式不匹配（多了『年』字），输出规范要求 '2025全年'
V1,V1 同义词别名匹配,Q15,五大一级品类2025年全年销售额对比,中等,对比分析,1,
V1,V1 同义词别名匹配,Q16,一级品类中，销售额最高的Top3是哪些？（2025全年）,中等,排名分析,1,
V1,V1 同义词别名匹配,Q17,2026年上半年订单量最多的前5个城市是哪些？,中等,排名分析,1,
V1,V1 同义词别名匹配,Q18,按区域来看，客单价最高的3个区域是？,中等,排名分析,0,默认时间范围错误，导致排名和数值均错
V1,V1 同义词别名匹配,Q19,2025年新增付费客户数最多的10个城市,困难,排名分析,1,
V1,V1 同义词别名匹配,Q20,2025年销售额最低的5个品牌,中等,排名分析,1,
V1,V1 同义词别名匹配,Q21,7大区域的销售额占比（上月）,中等,占比分析,0,使用动态时间返回 0 行；占比问题只返回占比一列，不返回绝对值列（输出规范 M08 占比 3 列）
V1,V1 同义词别名匹配,Q22,2025年各渠道的订单量占比,中等,占比分析,0,缺少绝对值列，占比计算方法错误
V1,V1 同义词别名匹配,Q23,电子产品一级品类下，5个二级子品类的销售额占比（2025全年）,中等,占比分析,1,
V1,V1 同义词别名匹配,Q24,2025年哪个月的销售额环比上月跌幅最大？,困难,异常识别,1,
V1,V1 同义词别名匹配,Q25,2025年复购率最高和最低的月份分别是？,困难,异常识别,0,复购率定义错误（跨月追踪新客复购率 ≠ 当月复购率）；『最高最低分别是』返回 2 行，规范要求返回全部 12 行
V2,V2 指标计算模板+口径规则,Q01,上月销售额多少？,简单,直接统计,0,动态时间函数 date('now') 查不到数据
V2,V2 指标计算模板+口径规则,Q02,今年上半年华东区域的销售额是多少？,中等,直接统计,0,『今年上半年』被误解为 2025 上半年
V2,V2 指标计算模板+口径规则,Q03,2025年Q4电子产品的销售额是多少？,中等,直接统计,1,
V2,V2 指标计算模板+口径规则,Q04,去年金卡会员的订单量是多少？,中等,直接统计,1,
V2,V2 指标计算模板+口径规则,Q05,2025年全年的客单价是多少？,中等,直接统计,1,
V2,V2 指标计算模板+口径规则,Q06,2025年每个月的销售额变化趋势是怎样的？,中等,趋势分析,0,多返回订单量一列，列数不符合输出规范（趋势分析应为 时间+指标）
V2,V2 指标计算模板+口径规则,Q07,近6个月的订单量变化趋势,中等,趋势分析,0,"近6个月被算成 date('now','-6 months')=12 个月，行数翻倍"
V2,V2 指标计算模板+口径规则,Q08,2025年各季度新客数的变化情况,困难,趋势分析,0,季度标签用纯数字 1/2/3/4 而非字符串 '2025Q1'
V2,V2 指标计算模板+口径规则,Q09,2025年每个月的客单价，同时给出同比上月的环比变化,困难,趋势分析,0,环比问题缺少上期值列（输出规范要求 4 列：月/当期/上期/环比%）
V2,V2 指标计算模板+口径规则,Q10,各渠道按季度的销售额变化趋势,困难,趋势分析,0,维度列顺序错误（问题先渠道后季度，基线先季度后渠道导致数据错位）
V2,V2 指标计算模板+口径规则,Q11,华东和华北2025年全年的销售额对比,中等,对比分析,1,
V2,V2 指标计算模板+口径规则,Q12,金卡会员和普通会员在2025年Q4的订单量对比,中等,对比分析,1,
V2,V2 指标计算模板+口径规则,Q13,线上APP渠道和线下门店渠道，哪个客单价更高？,中等,对比分析,0,对比问题默认时间范围取全量而非上月（陷阱规则#2）
V2,V2 指标计算模板+口径规则,Q14,2025年全年 vs 2026年上半年的销售额对比,中等,对比分析,0,时间段标签文字格式不匹配（多了『年』字），输出规范要求 '2025全年'
V2,V2 指标计算模板+口径规则,Q15,五大一级品类2025年全年销售额对比,中等,对比分析,1,
V2,V2 指标计算模板+口径规则,Q16,一级品类中，销售额最高的Top3是哪些？（2025全年）,中等,排名分析,1,
V2,V2 指标计算模板+口径规则,Q17,2026年上半年订单量最多的前5个城市是哪些？,中等,排名分析,1,
V2,V2 指标计算模板+口径规则,Q18,按区域来看，客单价最高的3个区域是？,中等,排名分析,0,默认时间范围错误，导致排名和数值均错
V2,V2 指标计算模板+口径规则,Q19,2025年新增付费客户数最多的10个城市,困难,排名分析,1,
V2,V2 指标计算模板+口径规则,Q20,2025年销售额最低的5个品牌,中等,排名分析,1,
V2,V2 指标计算模板+口径规则,Q21,7大区域的销售额占比（上月）,中等,占比分析,0,使用动态时间返回 0 行；占比问题只返回占比一列，不返回绝对值列（输出规范 M08 占比 3 列）
V2,V2 指标计算模板+口径规则,Q22,2025年各渠道的订单量占比,中等,占比分析,0,缺少绝对值列，占比计算方法错误
V2,V2 指标计算模板+口径规则,Q23,电子产品一级品类下，5个二级子品类的销售额占比（2025全年）,中等,占比分析,1,
V2,V2 指标计算模板+口径规则,Q24,2025年哪个月的销售额环比上月跌幅最大？,困难,异常识别,1,
V2,V2 指标计算模板+口径规则,Q25,2025年复购率最高和最低的月份分别是？,困难,异常识别,0,『最高最低分别是』返回 2 行，规范要求返回全部 12 行
V3,V3 时间锚点硬编码,Q01,上月销售额多少？,简单,直接统计,1,
V3,V3 时间锚点硬编码,Q02,今年上半年华东区域的销售额是多少？,中等,直接统计,1,
V3,V3 时间锚点硬编码,Q03,2025年Q4电子产品的销售额是多少？,中等,直接统计,1,
V3,V3 时间锚点硬编码,Q04,去年金卡会员的订单量是多少？,中等,直接统计,1,
V3,V3 时间锚点硬编码,Q05,2025年全年的客单价是多少？,中等,直接统计,1,
V3,V3 时间锚点硬编码,Q06,2025年每个月的销售额变化趋势是怎样的？,中等,趋势分析,0,多返回订单量一列，列数不符合输出规范（趋势分析应为 时间+指标）
V3,V3 时间锚点硬编码,Q07,近6个月的订单量变化趋势,中等,趋势分析,1,
V3,V3 时间锚点硬编码,Q08,2025年各季度新客数的变化情况,困难,趋势分析,0,季度标签用纯数字 1/2/3/4 而非字符串 '2025Q1'
V3,V3 时间锚点硬编码,Q09,2025年每个月的客单价，同时给出同比上月的环比变化,困难,趋势分析,0,环比问题缺少上期值列（输出规范要求 4 列：月/当期/上期/环比%）
V3,V3 时间锚点硬编码,Q10,各渠道按季度的销售额变化趋势,困难,趋势分析,0,维度列顺序错误（问题先渠道后季度，基线先季度后渠道导致数据错位）
V3,V3 时间锚点硬编码,Q11,华东和华北2025年全年的销售额对比,中等,对比分析,1,
V3,V3 时间锚点硬编码,Q12,金卡会员和普通会员在2025年Q4的订单量对比,中等,对比分析,1,
V3,V3 时间锚点硬编码,Q13,线上APP渠道和线下门店渠道，哪个客单价更高？,中等,对比分析,1,
V3,V3 时间锚点硬编码,Q14,2025年全年 vs 2026年上半年的销售额对比,中等,对比分析,0,时间段标签文字格式不匹配（多了『年』字），输出规范要求 '2025全年'
V3,V3 时间锚点硬编码,Q15,五大一级品类2025年全年销售额对比,中等,对比分析,1,
V3,V3 时间锚点硬编码,Q16,一级品类中，销售额最高的Top3是哪些？（2025全年）,中等,排名分析,1,
V3,V3 时间锚点硬编码,Q17,2026年上半年订单量最多的前5个城市是哪些？,中等,排名分析,1,
V3,V3 时间锚点硬编码,Q18,按区域来看，客单价最高的3个区域是？,中等,排名分析,1,
V3,V3 时间锚点硬编码,Q19,2025年新增付费客户数最多的10个城市,困难,排名分析,1,
V3,V3 时间锚点硬编码,Q20,2025年销售额最低的5个品牌,中等,排名分析,1,
V3,V3 时间锚点硬编码,Q21,7大区域的销售额占比（上月）,中等,占比分析,0,占比问题只返回占比一列，不返回绝对值列（输出规范 M08 占比 3 列）
V3,V3 时间锚点硬编码,Q22,2025年各渠道的订单量占比,中等,占比分析,0,缺少绝对值列，占比计算方法错误
V3,V3 时间锚点硬编码,Q23,电子产品一级品类下，5个二级子品类的销售额占比（2025全年）,中等,占比分析,1,
V3,V3 时间锚点硬编码,Q24,2025年哪个月的销售额环比上月跌幅最大？,困难,异常识别,1,
V3,V3 时间锚点硬编码,Q25,2025年复购率最高和最低的月份分别是？,困难,异常识别,0,『最高最低分别是』返回 2 行，规范要求返回全部 12 行
V4,V4 完整语义层,Q01,上月销售额多少？,简单,直接统计,1,
V4,V4 完整语义层,Q02,今年上半年华东区域的销售额是多少？,中等,直接统计,1,
V4,V4 完整语义层,Q03,2025年Q4电子产品的销售额是多少？,中等,直接统计,1,
V4,V4 完整语义层,Q04,去年金卡会员的订单量是多少？,中等,直接统计,1,
V4,V4 完整语义层,Q05,2025年全年的客单价是多少？,中等,直接统计,1,
V4,V4 完整语义层,Q06,2025年每个月的销售额变化趋势是怎样的？,中等,趋势分析,1,
V4,V4 完整语义层,Q07,近6个月的订单量变化趋势,中等,趋势分析,1,
V4,V4 完整语义层,Q08,2025年各季度新客数的变化情况,困难,趋势分析,1,
V4,V4 完整语义层,Q09,2025年每个月的客单价，同时给出同比上月的环比变化,困难,趋势分析,1,
V4,V4 完整语义层,Q10,各渠道按季度的销售额变化趋势,困难,趋势分析,1,
V4,V4 完整语义层,Q11,华东和华北2025年全年的销售额对比,中等,对比分析,1,
V4,V4 完整语义层,Q12,金卡会员和普通会员在2025年Q4的订单量对比,中等,对比分析,1,
V4,V4 完整语义层,Q13,线上APP渠道和线下门店渠道，哪个客单价更高？,中等,对比分析,1,
V4,V4 完整语义层,Q14,2025年全年 vs 2026年上半年的销售额对比,中等,对比分析,1,
V4,V4 完整语义层,Q15,五大一级品类2025年全年销售额对比,中等,对比分析,1,
V4,V4 完整语义层,Q16,一级品类中，销售额最高的Top3是哪些？（2025全年）,中等,排名分析,1,
V4,V4 完整语义层,Q17,2026年上半年订单量最多的前5个城市是哪些？,中等,排名分析,1,
V4,V4 完整语义层,Q18,按区域来看，客单价最高的3个区域是？,中等,排名分析,1,
V4,V4 完整语义层,Q19,2025年新增付费客户数最多的10个城市,困难,排名分析,1,
V4,V4 完整语义层,Q20,2025年销售额最低的5个品牌,中等,排名分析,1,
V4,V4 完整语义层,Q21,7大区域的销售额占比（上月）,中等,占比分析,1,
V4,V4 完整语义层,Q22,2025年各渠道的订单量占比,中等,占比分析,1,
V4,V4 完整语义层,Q23,电子产品一级品类下，5个二级子品类的销售额占比（2025全年）,中等,占比分析,1,
V4,V4 完整语义层,Q24,2025年哪个月的销售额环比上月跌幅最大？,困难,异常识别,1,
V4,V4 完整语义层,Q25,2025年复购率最高和最低的月份分别是？,困难,异常识别,1,
