题号,问题,难度,问题类型,SQL执行,结果匹配,错误分类,错误原因,返回行数,LLM耗时,SQL耗时,总耗时,生成SQL摘要
Q01,上月销售额多少？,简单,直接统计,✅ 成功,✅ 正确,,,1,2.9s,14ms,2.9s,"SELECT ROUND(SUM(amount), 2) AS sales_amount FROM order_item WHERE pay_status = '已支付' AND order_date..."
Q02,今年上半年华东区域的销售额是多少？,中等,直接统计,✅ 成功,✅ 正确,,,1,3.8s,9ms,3.8s,"SELECT COALESCE(ROUND(SUM(amount), 2), 0) AS sales_amount FROM order_item WHERE pay_status = '已支付' A..."
Q03,2025年Q4电子产品的销售额是多少？,中等,直接统计,✅ 成功,✅ 正确,,,1,4.6s,10ms,4.6s,"SELECT COALESCE(ROUND(SUM(oi.amount), 2), 0) AS sales_amount FROM order_item oi LEFT JOIN product p ..."
Q04,去年金卡会员的订单量是多少？,中等,直接统计,✅ 成功,✅ 正确,,,1,3.6s,7ms,3.6s,SELECT COUNT(DISTINCT oi.order_id) AS order_count FROM order_item oi LEFT JOIN customer c ON oi.cust...
Q05,2025年全年的客单价是多少？,中等,直接统计,✅ 成功,✅ 正确,,,1,6m49s,0ms,3.6s,"SELECT ROUND(SUM(oi.amount) * 1.0 / NULLIF(COUNT(DISTINCT oi.order_id), 0), 2) AS aov FROM order_ite..."
Q06,2025年每个月的销售额变化趋势是怎样的？,中等,趋势分析,✅ 成功,✅ 正确,,,12,4.6s,16ms,4.6s,"SELECT strftime('%Y-%m', order_date) AS month, ROUND(SUM(amount), 2) AS sales_amount FROM order_item..."
Q07,近6个月的订单量变化趋势,中等,趋势分析,✅ 成功,✅ 正确,,,6,3.8s,13ms,3.8s,"SELECT STRFTIME('%Y-%m', order_date) AS month, COUNT(DISTINCT order_id) AS order_count FROM order_it..."
Q08,2025年各季度新客数的变化情况,困难,趋势分析,✅ 成功,✅ 正确,,,4,4.9s,11ms,4.9s,"WITH customer_first_pay AS ( SELECT customer_id, MIN(order_date) AS first_pay_date FROM order_item W..."
Q09,2025年每个月的客单价，同时给出同比上月的环比变化,困难,趋势分析,✅ 成功,✅ 正确,,,12,7m6s,0ms,6.4s,"WITH monthly_aov AS ( SELECT strftime('%Y-%m', order_date) AS month, SUM(amount) FILTER (WHERE pay_s..."
Q10,各渠道按季度的销售额变化趋势,困难,趋势分析,✅ 成功,✅ 正确,,,24,4.7s,19ms,4.7s,"SELECT oi.channel, dd.season_name AS quarter, ROUND(SUM(oi.amount), 2) AS sales_amount FROM order_it..."
Q11,华东和华北2025年全年的销售额对比,中等,对比分析,✅ 成功,✅ 正确,,,2,8.2s,9ms,8.2s,"SELECT c.region, ROUND(SUM(oi.amount), 2) AS sales_amount FROM order_item oi LEFT JOIN customer c ON..."
Q12,金卡会员和普通会员在2025年Q4的订单量对比,中等,对比分析,✅ 成功,✅ 正确,,,2,3m59s,0ms,4.2s,"SELECT c.member_level, COUNT(DISTINCT oi.order_id) AS order_count FROM order_item oi LEFT JOIN custo..."
Q13,线上APP渠道和线下门店渠道，哪个客单价更高？,中等,对比分析,✅ 成功,✅ 正确,,,2,5.1s,12ms,5.1s,"SELECT channel, ROUND(SUM(amount) * 1.0 / NULLIF(COUNT(DISTINCT order_id), 0), 2) AS aov FROM order_..."
Q14,2025年全年 vs 2026年上半年的销售额对比,中等,对比分析,✅ 成功,✅ 正确,,,2,5.2s,13ms,5.3s,SELECT CASE WHEN order_date BETWEEN '2025-01-01' AND '2025-12-31' THEN '2025全年' WHEN order_date BETW...
Q15,五大一级品类2025年全年销售额对比,中等,对比分析,✅ 成功,✅ 正确,,,5,3.2s,11ms,3.2s,"SELECT p.category, ROUND(SUM(oi.amount), 2) AS sales_amount FROM order_item oi LEFT JOIN product p O..."
Q16,一级品类中，销售额最高的Top3是哪些？（2025全年）,中等,排名分析,✅ 成功,✅ 正确,,,3,3.0s,13ms,3.0s,"SELECT p.category, ROUND(SUM(oi.amount) FILTER (WHERE oi.pay_status = '已支付'), 2) AS sales_amount FRO..."
Q17,2026年上半年订单量最多的前5个城市是哪些？,中等,排名分析,✅ 成功,✅ 正确,,,5,3.4s,12ms,3.5s,"SELECT c.city, COUNT(DISTINCT oi.order_id) AS order_count FROM order_item oi LEFT JOIN customer c ON..."
